domainid,siteid,plotid,subplotid,nestedsubplotid,tagid,individualid,plantstatus,stemdiameter,measurementheight,vdapexheight,vdbaseheight,vdapexbreakheight,vdbasebreakheight,basecrownheight,maxcrowndiameter,ninetycrowndiameter,breakdiameter,canopyposition,shape,basalstemdiameter,basalstemdiametermeasurementheight,maxbasecrowndiameter,ninetybasecrowndiameter,remarks,recordedby,measuredby
D01,BART,BART_073,39,1,03962,NEON.PLA.D01.BART.03962,5,1.6,130,2.9,0,,,,,,,,,,,,,Bole damage. Beech bark disease.,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,39,1,03965,NEON.PLA.D01.BART.03965,10,,,0.6,0,0.6,0,,,,0.4,,,1.4,10,,,"Probable cause of death is beech bark disease. Unknown cause of bole break. ",chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,39,1,03967,NEON.PLA.D01.BART.03967,5,,,2,0,,,,,,,,,1.5,10,,,Bole damage. Beech bark disease.,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,39,1,03976,NEON.PLA.D01.BART.03976,1,26.8,130,17,-1.1,,,,,,,,,,,,,,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,39,,03928,NEON.PLA.D01.BART.03928,5,14.3,130,11.9,-1.7,,,,,,,,,,,,,Bole damage. Beech bark disease.,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,39,1,04634,NEON.PLA.D01.BART.04634,1,23.5,130,9.8,-1.5,,,,,,,,,,,,,,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,39,1,03971,NEON.PLA.D01.BART.03971,1,24.5,130,17.7,-1.6,,,,,,,,,,,,,,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,39,1,03963,NEON.PLA.D01.BART.03963,5,5.5,130,9.1,-1.2,,,,,,,,,,,,,Bole damage. Beech bark disease.,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,39,1,00994,NEON.PLA.D01.BART.00994,5,11.5,130,10.5,-1.3,,,,,,,,,,,,,Bole damage. Beech bark disease.,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,39,1,00994A,NEON.PLA.D01.BART.00994A,5,6,130,,,,,,,,,,,,,,,Bole damage. Beech bark disease.,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,39,3,04637,NEON.PLA.D01.BART.04637,8,,,,,,,,,,,,,,,,,Under 130 cm in height. Probable cause of death beach bark disease.,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,39,3,03961,NEON.PLA.D01.BART.03961,5,1.6,130,2,0,,,,,,,,,,,,,Bole damage. Beech bark disease.,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,39,3,03960,NEON.PLA.D01.BART.03960,5,,,1.1,0,,,,,,,,,1.1,10,,,Bole damage. Beech bark disease. Also broken bole under 30 cm.,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,39,3,04762,NEON.PLA.D01.BART.04762,9,,,0.4,0,0.4,0,,,,0.5,,,1,10,,,Bole damage. Beech bark disease.,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,39,3,03959,NEON.PLA.D01.BART.03959,1,,,0.7,0,,,,,,,,,1,10,,,,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,39,3,04636,NEON.PLA.D01.BART.04636,1,20.3,130,11.3,-1.2,,,,,,,,,,,,,,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,39,3,03957,NEON.PLA.D01.BART.03957,1,10.9,130,6.3,-1.5,,,,,,,,,,,,,,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,39,,03956,NEON.PLA.D01.BART.03956,16,,,,,,,,,,,,,,,,,,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,39,,03955,NEON.PLA.D01.BART.03955,6,19.1,130,10.6,-1.6,,,,,,,,,,,,,Leaning alive with a large broken branch. Cause probably beach bark disease.,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,39,3,03958,NEON.PLA.D01.BART.03958,5,9.4,130,9.7,-1.4,,,,,,,,,,,,,Bole damage. Beech bark disease.,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,39,,03954,NEON.PLA.D01.BART.03954,5,28.3,130,15.2,-1.6,,,,,,,,,,,,,Bole damage. Beech bark disease.,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,39,,03919,NEON.PLA.D01.BART.03919,2,19.3,130,12.4,-1.3,,,,,,,,,,,,,2 large scars. Unknown cause of death.,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,39,,03918,NEON.PLA.D01.BART.03918,1,26.4,130,14.8,-1.5,,,,,,,,,,,,,,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,39,,03918A,NEON.PLA.D01.BART.03918A,1,13.4,130,,,,,,,,,,,,,,,,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,39,,04633,NEON.PLA.D01.BART.04633,2,11.2,130,8.3,-1.6,,,,,,,,,,,,,Unknown cause of death.,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,39,1,03917,NEON.PLA.D01.BART.03917,1,30.1,130,15.6,-0.9,,,,,,,,,,,,,,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,39,,03920,NEON.PLA.D01.BART.03920,10,23.4,130,9.7,-1.3,9.7,-1.3,,,,10,,,,,,,Unknown cause of death and break.,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,39,,03935,NEON.PLA.D01.BART.03935,1,17.8,130,12.4,-1.1,,,,,,,,,,,,,,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,39,,03921,NEON.PLA.D01.BART.03921,5,15.4,130,12.7,-1.3,,,,,,,,,,,,,Bole damage. Beech bark disease.,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,39,,03925,NEON.PLA.D01.BART.03925,1,18.9,130,9.9,-1.3,,,,,,,,,,,,,,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,39,,03952,NEON.PLA.D01.BART.03952,6,9.2,190,12.8,-1.2,,,,,,,,,,,,,Very large bulge at 130 cm where diameter is 19.2,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,39,,03951,NEON.PLA.D01.BART.03951,5,15.7,130,12.4,-1.3,,,,,,,,,,,,,Bole damage. Beech bark disease.,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,39,,03953,NEON.PLA.D01.BART.03953,1,35.2,130,17.6,-1.6,,,,,,,,,,,,,,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,39,,03926,NEON.PLA.D01.BART.03926,5,20.2,130,16.1,-1.2,,,,,,,,,,,,,Bole damage. Beech bark disease.,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,39,,03927,NEON.PLA.D01.BART.03927,1,25.3,130,16.6,-1.2,,,,,,,,,,,,,,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,39,,03924,NEON.PLA.D01.BART.03924,6,18.8,130,11.9,-1,,,,,,,,,,,,,Damage to main branch,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,39,,03931,NEON.PLA.D01.BART.03931,6,26.3,130,16.9,-1.2,,,,,,,,,,,,,Scarring on bole,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,39,,03932,NEON.PLA.D01.BART.03932,1,31.2,130,14.7,-1.6,,,,,,,,,,,,,,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,39,,03933,NEON.PLA.D01.BART.03933,1,35.7,130,16.8,-1.9,,,,,,,,,,,,,,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,39,,03934,NEON.PLA.D01.BART.03934,1,16.3,130,8.3,-1.8,,,,,,,,,,,,,,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,39,,03930,NEON.PLA.D01.BART.03930,1,11.1,130,5.6,-1.9,,,,,,,,,,,,,,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,39,,03929,NEON.PLA.D01.BART.03929,6,14.2,130,12.2,-1.8,,,,,,,,,,,,,One large branch dead,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,39,,03923,NEON.PLA.D01.BART.03923,1,12.2,130,6.5,-1.7,,,,,,,,,,,,,,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,39,,03922,NEON.PLA.D01.BART.03922,1,12.6,130,11.7,-1.3,,,,,,,,,,,,,,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,39,,03940,NEON.PLA.D01.BART.03940,6,30.7,160,17.6,-1.9,,,,,,,,,,,,,Very large buldge on bole,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,39,,04635,NEON.PLA.D01.BART.04635,16,24.4,130,1.7,0,,,,,,,,,,,,,Unknown cause of death and break.,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,39,,03934,NEON.PLA.D01.BART.03934,1,35.5,130,14.5,-1.4,,,,,,,,,,,,,,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,39,,03945A,NEON.PLA.D01.BART.03945A,10,17,130,,,17.9,-1.4,,,,8,,,,,,,Unknown cause of death,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,39,,03945B,NEON.PLA.D01.BART.03945B,16,,,,,,,,,,,,,,,,,,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,39,,03945,NEON.PLA.D01.BART.03945,1,22.6,130,15.2,-1.4,,,,,,,,,,,,,,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,39,,03947,NEON.PLA.D01.BART.03947,5,11.6,130,8.6,-1.5,,,,,,,,,,,,,Bole damage. Beech bark disease.,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,39,,03946,NEON.PLA.D01.BART.03946,5,11.5,130,8.9,-1.4,,,,,,,,,,,,,Bole damage. Beech bark disease.,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,39,,03936,NEON.PLA.D01.BART.03936,5,20,130,12.9,-1.7,,,,,,,,,,,,,Bole damage. Beech bark disease.,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,39,,03937,NEON.PLA.D01.BART.03937,1,15.1,130,7.6,-1.9,,,,,,,,,,,,,,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,39,,03949,NEON.PLA.D01.BART.03949,5,13.7,130,14.1,-1.6,,,,,,,,,,,,,Bole damage. Beech bark disease.,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,39,,03950,NEON.PLA.D01.BART.03950,6,36.4,130,17.9,-2,,,,,,,,,,,,,Crown damage. Dead branch.,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,39,,03948,NEON.PLA.D01.BART.03948,2,35.3,130,16.2,-1.3,,,,,,,,,,,,,Unknown cause of death,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,39,,03939,NEON.PLA.D01.BART.03939,1,23.5,130,9.8,-1.9,,,,,,,,,,,,,,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,23,2,04628,NEON.PLA.D01.BART.04628,5,,,1.1,0,,,,,,,,,1.5,10,,,Bole damage. Beech bark disease.,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,23,2,03691,NEON.PLA.D01.BART.03691,5,1.2,130,1.7,0,,,,,,,,,,,,,Bole damage. Beech bark disease.,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,23,2,03687,NEON.PLA.D01.BART.03687,5,,,0.7,0,,,,,,,,,1.2,10,,,Bole damage. Beech bark disease. Crown damage - broken branch. Unknown cause.,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,23,2,04761,NEON.PLA.D01.BART.04761,5,1.4,130,2.3,0,,,,,,,,,,,,,Bole damage. Beech bark disease.,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,23,2,04760,NEON.PLA.D01.BART.04760,5,,,1.4,0,,,,,,,,,1.4,11,,,Bole damage. Beech bark disease.,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,23,2,03692,NEON.PLA.D01.BART.03692,5,1.5,130,2.8,0,,,,,,,,,,,,,Bole damage. Beech bark disease.,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,23,2,03695,NEON.PLA.D01.BART.03695,5,,,1.3,0,,,,,,,,,1.6,10,,,Bole damage. Beech bark disease.,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,23,2,03694,NEON.PLA.D01.BART.03694,5,,,1.8,0,,,,,,,,,1.6,30,,,Bole damage. Beech bark disease. Bulge at base of main bole.,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,23,2,03689,NEON.PLA.D01.BART.03689,5,,,2,0,,,,,,,,,2.3,10,,,Bole damage. Beech bark disease.,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,23,2,04632,NEON.PLA.D01.BART.04632,5,,,0.4,0,,,,,,,,,1.4,10,,,Bole damage. Beech bark disease.  Broken branch.,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,23,2,03688,NEON.PLA.D01.BART.03688,5,,,1.8,0,,,,,,,,,1.7,10,,,Bole damage. Beech bark disease.,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,23,2,04629,NEON.PLA.D01.BART.04629,5,,,0.3,0,,,,,,,,,1.4,10,,,Bole damage. Beech bark disease. Crown damage - dead branches.,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,23,2,04630,NEON.PLA.D01.BART.04630,5,7.5,130,8.2,-1.7,,,,,,,,,,,,,Bole damage. Beech bark disease.,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,23,2,04631,NEON.PLA.D01.BART.04631,5,7.1,130,7.2,-1.7,,,,,,,,,,,,,Bole damage. Beech bark disease.,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,23,2,03685,NEON.PLA.D01.BART.03685,2,24.7,130,5.8,-1.7,,,,,,,,,,,,,Unknown cause of death.,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,23,2,03698,NEON.PLA.D01.BART.03698,5,31.5,130,15.4,-1.6,,,,,,,,,,,,,Bole damage. Beech bark disease. Dead broken side branch.,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,23,2,03686,NEON.PLA.D01.BART.03686,5,,,1,0,,,,,,,,,2.3,10,,,Bole damage. Beech bark disease.,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,23,4,03905,NEON.PLA.D01.BART.03905,5,1.3,130,1.5,0,,,,,,,,,,,,,Bole damage. Beech bark disease.,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,23,4,03915,NEON.PLA.D01.BART.03915,5,1.5,130,3,0,,,,,,,,,,,,,Bole damage. Beech bark disease. Crown damage - dead branch. Unknown cause.,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,23,4,03910,NEON.PLA.D01.BART.03910,5,2.4,130,2.7,0,,,,,,,,,,,,,Bole damage. Beech bark disease. Almost dead.,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,23,4,03913,NEON.PLA.D01.BART.03913,5,,,1,0,,,,,,,,,1.6,10,,,Bole damage. Beech bark disease.,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,23,4,04626,NEON.PLA.D01.BART.04626,5,,,1,0,,,,,,,,,2.2,10,,,Bole damage. Beech bark disease. Crown damage. Dead top branches. Unknown cause.,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,23,4,04625,NEON.PLA.D01.BART.04625,1,,,0.8,0,,,,,,,,,2.7,10,,,,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,23,4,03914,NEON.PLA.D01.BART.03914,5,,,1.3,0,,,,,,,,,2.8,10,,,Bole damage. Beech bark disease. Main bole dead. Unknown cause.,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,23,4,03903,NEON.PLA.D01.BART.03903,5,1.1,130,2.4,0,,,,,,,,,,,,,Bole damage. Beech bark disease.,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,23,4,03911,NEON.PLA.D01.BART.03911,5,1.1,130,1.8,0,,,,,,,,,,,,,Bole damage. Beech bark disease.,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,23,4,03906,NEON.PLA.D01.BART.03906,5,1.8,130,2.9,0,,,,,,,,,,,,,Bole damage. Beech bark disease.,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,23,4,03908,NEON.PLA.D01.BART.03908,5,5.4,130,6.7,-1.6,,,,,,,,,,,,,Bole damage. Beech bark disease.,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,23,,04526,NEON.PLA.D01.HARV.04526,5,13.5,130,11.8,-1.5,,,,,,,,,,,,,Bole damage. Beech bark disease.,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,23,4,03916,NEON.PLA.D01.BART.03916,5,9.2,130,10.1,-1.6,,,,,,,,,,,,,Bole damage. Beech bark disease.,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,23,4,03904,NEON.PLA.D01.BART.03904,5,3.8,130,3.9,-1.6,,,,,,,,,,,,,Bole damage. Beech bark disease.,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,23,4,03907,NEON.PLA.D01.BART.03907,1,18,130,10.3,-1.3,,,,,,,,,,,,,,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,23,4,03902,NEON.PLA.D01.BART.03902,5,16.1,130,12.3,-1.4,,,,,,,,,,,,,Bole damage. Beech bark disease.,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,23,4,03902A,NEON.PLA.D01.BART.03902A,5,8.5,130,,,,,,,,,,,,,,,Bole damage. Beech bark disease.,chines@field-ops.org,jbreault@field-ops.org
D01,BART,BART_073,23,4,03912,NEON.PLA.D01.BART.03912,5,3.3,130,3.9,0,,,,,,,,,,,,,Bole damage. Beech bark disease. Crown damage. Broken branch. Unknown cause.,chines@field-ops.org,jbreault@field-ops.org
