domainid,siteid,plotid,subplotid,nestedsubplotid,tagid,individualid,plantstatus,stemdiameter,measurementheight,vdapexheight,vdbaseheight,vdapexbreakheight,vdbasebreakheight,basecrownheight,maxcrowndiameter,ninetycrowndiameter,breakdiameter,canopyposition,shape,basalstemdiameter,basalstemdiametermeasurementheight,maxbasecrowndiameter,ninetybasecrowndiameter,remarks,recordedby,measuredby
D05,TREE,TREE_056,21,,00107,NEON.PLA.D05.TREE.00107,1,31.1,130,17,-1.5,,,,,,,,,,,,,,fschroyer@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,21,4,00146,NEON.PLA.D05.TREE.00146,1,8.5,130,11.1,-1.3,,,,,,,,,,,,,,fschroyer@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,21,4,00189,NEON.PLA.D05.TREE.00189,1,9,130,4.7,-1.3,,,,,,,,,,,,,,fschroyer@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,21,4,03538,NEON.PLA.D05.TREE.03538,1,,,1.1,0,,,,,,,,,1.6,10,,,,fschroyer@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,21,1,00097,NEON.PLA.D05.TREE.00097,1,5.6,130,3.2,-1.4,,,,,,,,,,,,,,fschroyer@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,21,,03539,NEON.PLA.D05.TREE.03539,1,,,1.1,0,,,,,,,,,1.4,10,,,,fschroyer@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,21,1,00177,NEON.PLA.D05.TREE.00177,1,1.7,130,2.3,0,,,,,,,,,,,,,,fschroyer@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,21,4,00162,NEON.PLA.D05.TREE.00162,1,,,1,0,,,,,,,,,1.4,10,,,,fschroyer@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,41,4,00271,NEON.PLA.D05.TREE.00271,1,1.4,130,2.6,0,,,,2.6,2.1,,,inverted cone,2.3,10,,,,fschroyer@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,41,4,00271,NEON.PLA.D05.TREE.00271,1,1.2,130,2.6,0,,,,2.6,2.1,,,inverted cone,2.3,10,,,,fschroyer@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,21,,00096,NEON.PLA.D05.TREE.00096,1,51.9,130,19.3,-1.4,,,,,,,,,,,,,,fschroyer@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,21,,00066,NEON.PLA.D05.TREE.00066,1,11.5,130,9.5,-1.3,,,,,,,,,,,,,,fschroyer@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,21,1,00011,NEON.PLA.D05.TREE.00011,1,7,130,3.9,-1.6,,,,,,,,,,,,,,fschroyer@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,21,1,00168,NEON.PLA.D05.TREE.00168,1,8.3,130,3.6,-1.4,,,,,,,,,,,,,,fschroyer@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,21,1,00061,NEON.PLA.D05.TREE.00061,1,7.5,135,4.3,-1.4,,,,,,,,,,,,,,fschroyer@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,21,,00029,NEON.PLA.D05.TREE.00029,1,3.6,130,19.1,-1.6,,,,,,,,,,,,,,fschroyer@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,21,1,00658,NEON.PLA.D05.TREE.00658,1,8.7,130,4.3,-1,,,,,,,,,,,,,,fschroyer@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,21,,00195,NEON.PLA.D05.TREE.00195,1,13,130,11.2,-1.5,,,,,,,,,,,,,,fschroyer@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,21,1,00164,NEON.PLA.D05.TREE.00164,1,33.9,130,17,-1,,,,,,,,,,,,,,fschroyer@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,21,,00699,NEON.PLA.D05.TREE.00699,1,10.5,135,9,-1.6,,,,,,,,,,,,,,fschroyer@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,21,,00192,NEON.PLA.D05.TREE.00192,1,12.7,130,8,-1.5,,,,,,,,,,,,,,fschroyer@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,21,,00167,NEON.PLA.D05.TREE.00167,1,19.3,130,14.9,-1,,,,,,,,,,,,,,fschroyer@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,21,,00116,NEON.PLA.D05.TREE.00116,1,33.2,130,17.7,-1.4,,,,,,,,,,,,,,fschroyer@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,21,,00098,NEON.PLA.D05.TREE.00098,1,55.3,135,18,-1.3,,,,,,,,,,,,,,fschroyer@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,21,,00002,NEON.PLA.D05.TREE.00002,1,20.2,130,16.1,-1.3,,,,,,,,,,,,,,fschroyer@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,21,,00109,NEON.PLA.D05.TREE.00109,1,13.7,130,13,-1,,,,,,,,,,,,,,fschroyer@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,21,1,03542,NEON.PLA.D05.TREE.03542,1,7.8,130,4,-1.4,,,,,,,,,,,,,,fschroyer@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,21,4,00171,NEON.PLA.D05.TREE.00171,1,7.2,130,3.4,-1.2,,,,,,,,,,,,,,fschroyer@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,21,,00065,NEON.PLA.D05.TREE.00065,1,19.5,130,13.9,-1.7,,,,,,,,,,,,,,fschroyer@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,21,,00001,NEON.PLA.D05.TREE.00001,1,11.5,130,11,-1,,,,,,,,,,,,,,fschroyer@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,21,1,00008,NEON.PLA.D05.TREE.00008,1,7.2,130,4.5,-1.2,,,,,,,,,,,,,,fschroyer@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,41,4,00041,NEON.PLA.D05.TREE.00041,1,1.8,130,2.6,0,,,,2.8,1.9,,,inverted cone,2.4,10,0.1,0.1,,fschroyer@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,41,4,00041,NEON.PLA.D05.TREE.00041,1,1.8,130,2.6,0,,,,2.8,1.9,,,inverted cone,2.4,10,,,,fschroyer@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,41,4,00271,NEON.PLA.D05.TREE.00271,1,2.1,130,2.6,0,,,,2.6,2.1,,,inverted cone,2.7,10,0.4,0.2,,fschroyer@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,41,4,00271,NEON.PLA.D05.TREE.00271,1,1.7,130,2.6,0,,,,2.6,2.1,,,inverted cone,2.4,10,,,,fschroyer@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,41,4,00230,NEON.PLA.D05.TREE.00230,1,,,1.8,0,,,,0.7,0.5,,,inverted cone,1.6,10,0.1,0.1,,fschroyer@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,41,,00246,NEON.PLA.D05.TREE.00246,1,24.6,130,10.3,-1.5,,,,,,,,,,,,,,ahacker@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,41,,00279,NEON.PLA.D05.TREE.00279,1,22.8,138,17.6,-0.9,,,,,,,,,,,,,,ahacker@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,41,,00253,NEON.PLA.D05.TREE.00253,1,26.8,130,17.1,-1.1,,,,,,,,,,,,,,ahacker@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,41,,00256,NEON.PLA.D05.TREE.00256,1,26.5,130,16.7,-1.4,,,,,,,,,,,,,,ahacker@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,41,1,00277,NEON.PLA.D05.TREE.00277,1,7.9,130,7.1,-1.3,,,,,,,,,,,,,,ahacker@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,41,1,00280,NEON.PLA.D05.TREE.00280,1,8,130,5.5,-1.6,,,,,,,,,,,,,,ahacker@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,41,,00278,NEON.PLA.D05.TREE.00278,1,19.9,130,12.3,-1.4,,,,,,,,,,,,,,ahacker@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,41,1,00115,NEON.PLA.D05.TREE.00115,1,3.6,130,1.3,-1.4,,,,,,,,,,,,,,ahacker@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,41,1,00013,NEON.PLA.D05.TREE.00013,1,5,130,2.7,-1.4,,,,,,,,,,,,,,ahacker@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,41,,00264,NEON.PLA.D05.TREE.00264,1,20,130,15.4,-1.5,,,,,,,,,,,,,,ahacker@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,41,,00252,NEON.PLA.D05.TREE.00252,1,31.7,130,17.1,-1.4,,,,,,,,,,,,,,ahacker@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,41,,00219,NEON.PLA.D05.TREE.00219,1,39.4,130,20.1,-1.3,,,,,,,,,,,,,,ahacker@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,41,,00259,NEON.PLA.D05.TREE.00259,1,16.6,130,14,-1.2,,,,,,,,,,,,,,ahacker@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,41,1,00112,NEON.PLA.D05.TREE.00112,1,6.2,130,3.3,-1.5,,,,,,,,,,,,,,ahacker@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,41,,00248,NEON.PLA.D05.TREE.00248,1,24.2,130,15.4,-1.5,,,,,,,,,,,,,,ahacker@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,41,,00232,NEON.PLA.D05.TREE.00232,1,33.6,130,16.6,-1.8,,,,,,,,,,,,,,ahacker@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,41,,00275,NEON.PLA.D05.TREE.00275,1,15.8,130,10.4,-1.6,,,,,,,,,,,,,,ahacker@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,41,,00260,NEON.PLA.D05.TREE.00260,1,14.3,130,13.6,-1.3,,,,,,,,,,,,,,ahacker@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,41,,00238,NEON.PLA.D05.TREE.00238,1,28.7,130,17.9,-1.4,,,,,,,,,,,,,,ahacker@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,41,,00273,NEON.PLA.D05.TREE.00273,1,21.5,130,15.9,-1.5,,,,,,,,,,,,,,ahacker@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,41,,00261,NEON.PLA.D05.TREE.00261,1,32,130,18.3,-1,,,,,,,,,,,,,,ahacker@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,41,4,00258,NEON.PLA.D05.TREE.00258,1,6.4,130,2.7,-1.5,,,,,,,,,,,,,,ahacker@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,41,,00244,NEON.PLA.D05.TREE.00244,1,31,130,18.4,-1.3,,,,,,,,,,,,,,ahacker@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,41,,00288,NEON.PLA.D05.TREE.00288,1,14.5,130,10.6,-1.2,,,,,,,,,,,,,,ahacker@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,41,,00249,NEON.PLA.D05.TREE.00249,1,20.9,130,14.2,-1.4,,,,,,,,,,,,,,ahacker@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,41,1,03545,NEON.PLA.D05.TREE.03545,1,,,1.1,0,,,,,,,,,1.1,10,,,,ahacker@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,41,1,03544,NEON.PLA.D05.TREE.03544,1,,,1.5,0,,,,,,,,,1.1,10,,,,ahacker@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,41,4,00225,NEON.PLA.D05.TREE.00225,1,,,1.1,0,,,,,,,,,1.2,10,,,,ahacker@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,41,4,00169,NEON.PLA.D05.TREE.00169,1,3.9,130,4.4,-1.7,,,,,,,,,,,,,,ahacker@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,41,,00255,NEON.PLA.D05.TREE.00255,1,22,130,17.3,-1.3,,,,,,,,,,,,,,ahacker@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,41,4,00286,NEON.PLA.D05.TREE.00286,1,1.3,130,2.5,0,,,,1.8,1.2,,,inverted cone,2.5,10,0.2,0.2,,ahacker@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,41,4,00240,NEON.PLA.D05.TREE.00240,1,2,130,2.6,0,,,,2.6,2.2,,,inverted cone,3.5,10,0.2,0.4,,ahacker@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,41,4,00287,NEON.PLA.D05.TREE.00287,1,,,1.5,0,,,,,,,,inverted cone,2.7,10,,,,ahacker@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,41,4,00284,NEON.PLA.D05.TREE.00284,1,,,1.7,0,,,,2,1.7,,,inverted cone,2.8,10,0.2,0.3,,ahacker@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,41,4,00054,NEON.PLA.D05.TREE.00054,1,3.3,130,2.3,0,,,,2.2,2,,,inverted cone,4.2,10,0.4,0.4,,ahacker@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,41,,00243,NEON.PLA.D05.TREE.00243,1,18.9,130,13.6,-1.1,,,,,,,,,,,,,,ahacker@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,41,4,00198,NEON.PLA.D05.TREE.00198,1,2.3,130,2.4,0,,,,4.2,1.9,,,inverted cone,3.5,10,0.3,0.3,,ahacker@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,41,4,00282,NEON.PLA.D05.TREE.00282,1,1.8,130,2.6,0,,,,2.6,1.5,,,inverted cone,2.9,10,0.2,0.2,,ahacker@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,41,4,00262,NEON.PLA.D05.TREE.00262,1,1.7,130,2.4,0,,,,1.2,1,,,inverted cone,2.2,10,0.2,0.2,,ahacker@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,41,4,03540,NEON.PLA.D05.TREE.03540,1,1.5,10,1.5,0,,,,,,,,,,,,,,ahacker@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,41,4,00250,NEON.PLA.D05.TREE.00250,1,2.7,10,1.7,0,,,,,,,,,,,,,,ahacker@battelleecology.org,kstyers@battelleecology.org
D05,TREE,TREE_056,41,4,00117,NEON.PLA.D05.TREE.00117,1,3.3,10,2.8,0,,,,,,,,,,,,,,ahacker@battelleecology.org,kstyers@battelleecology.org
