uid,startDate,endDate,eventID,plotID,subplotID,nestedSubplotID,tagID,individualID,individualBarcode,individualFate,tagStatus,growthForm,plantStatus,stemDiameter,measurementHeight,vdApexHeight,vdBaseHeight,vdApexBreakHeight,vdBaseBreakHeight,height,breakHeight,baseCrownHeight,maxCrownDiameter,ninetyCrownDiameter,breakDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,remarks,recordedBy,measuredBy,dataQF,siteID,ID,dupCheck,errorField,sitID,domainID
,2015-09-28,2015-09-28,vst_MLBS_2015,MLBS_061.basePlot.vst,23,2,100,NEON.PLA.D07.MLBS.00100,,released,,multi-bole tree,Live,23,130,,,,,,,,0,0,,Partially shaded,,,,,,,mcumberland@field-ops.org,cjuneau@field-ops.org,legacyData,MLBS,20272,NEON.PLA.D07.MLBS.00100*2015-09-28,,MLBS,D07
,2015-09-28,2015-09-28,vst_MLBS_2015,MLBS_061.basePlot.vst,23,2,00100A,NEON.PLA.D07.MLBS.00100A,,released,,,Live,24.1,130,,,,,,,,0,0,,Partially shaded,,,,,,,mcumberland@field-ops.org,cjuneau@field-ops.org,legacyData,MLBS,20273,NEON.PLA.D07.MLBS.00100A*2015-09-28,,MLBS,D07
,2015-09-28,2015-09-28,vst_MLBS_2015,MLBS_061.basePlot.vst,23,2,00100B,NEON.PLA.D07.MLBS.00100B,,released,,,Live,21.9,130,,,,,,,,0,0,,Partially shaded,,,,,,,mcumberland@field-ops.org,cjuneau@field-ops.org,legacyData,MLBS,20274,NEON.PLA.D07.MLBS.00100B*2015-09-28,,MLBS,D07
,2015-09-28,2015-09-28,vst_MLBS_2015,MLBS_061.basePlot.vst,23,2,00100C,NEON.PLA.D07.MLBS.00100C,,released,,,Live,13.3,130,,,,,,,,0,0,,Partially shaded,,,,,,,mcumberland@field-ops.org,cjuneau@field-ops.org,legacyData,MLBS,20275,NEON.PLA.D07.MLBS.00100C*2015-09-28,,MLBS,D07
,2015-09-28,2015-09-28,vst_MLBS_2015,MLBS_061.basePlot.vst,23,2,101,NEON.PLA.D07.MLBS.00101,,released,,small tree,Live,1.9,130,,,,,,,,0,0,,Mostly shaded,,,,,,,mcumberland@field-ops.org,cjuneau@field-ops.org,legacyData,MLBS,20276,NEON.PLA.D07.MLBS.00101*2015-09-28,,MLBS,D07
,2015-09-28,2015-09-28,vst_MLBS_2015,MLBS_061.basePlot.vst,23,2,102,NEON.PLA.D07.MLBS.00102,,released,,small tree,Live,9.2,130,,,,,,,,0,0,,Mostly shaded,,,,,,,mcumberland@field-ops.org,cjuneau@field-ops.org,legacyData,MLBS,20277,NEON.PLA.D07.MLBS.00102*2015-09-28,,MLBS,D07
,2015-09-28,2015-09-28,vst_MLBS_2015,MLBS_061.basePlot.vst,23,2,103,NEON.PLA.D07.MLBS.00103,,released,,single bole tree,Live,17,130,,,,,,,,0,0,,Mostly shaded,,,,,,,mcumberland@field-ops.org,cjuneau@field-ops.org,legacyData,MLBS,20278,NEON.PLA.D07.MLBS.00103*2015-09-28,,MLBS,D07
,2015-09-28,2015-09-28,vst_MLBS_2015,MLBS_061.basePlot.vst,23,2,104,NEON.PLA.D07.MLBS.00104,,released,,single bole tree,Live,15.2,130,,,,,,,,0,0,,Partially shaded,,,,,,,mcumberland@field-ops.org,cjuneau@field-ops.org,legacyData,MLBS,20279,NEON.PLA.D07.MLBS.00104*2015-09-28,,MLBS,D07
,2015-09-28,2015-09-28,vst_MLBS_2015,MLBS_061.basePlot.vst,23,2,105,NEON.PLA.D07.MLBS.00105,,released,,small tree,Live,4,130,,,,,,,,0,0,,Mostly shaded,,,,,,,mcumberland@field-ops.org,cjuneau@field-ops.org,legacyData,MLBS,20280,NEON.PLA.D07.MLBS.00105*2015-09-28,,MLBS,D07
,2015-09-28,2015-09-28,vst_MLBS_2015,MLBS_061.basePlot.vst,23,2,106,NEON.PLA.D07.MLBS.00106,,released,,small tree,Live,1.8,130,,,,,,,,0,0,,Mostly shaded,,,,,,,mcumberland@field-ops.org,cjuneau@field-ops.org,legacyData,MLBS,20281,NEON.PLA.D07.MLBS.00106*2015-09-28,,MLBS,D07
