startdate,eventid,domainid,siteid,plotid,subplotid,nestedsubplotid,tagid,individualid,vstid,pointid,stemdistance,stemazimuth,supportingstemtagid,previouslytaggedas,taxonid,identificationqualifier,remarks,measuredby,recordedby
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,21,1,00001,NEON.PLA.D07.MLBS.00001,,,,,,,CADE12,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,21,1,00002,NEON.PLA.D07.MLBS.00002,,21,1.8,43.8,NA,,QURU,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,21,1,00003,NEON.PLA.D07.MLBS.00003,,21,3.1,59,NA,,QUAL,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,21,1,00004,NEON.PLA.D07.MLBS.00004,,,,,,,ACRU,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,21,1,00005,NEON.PLA.D07.MLBS.00005,,21,3.4,0.4,NA,,QURU,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2017-10-05,vst_MLBS_2017,D07,MLBS,MLBS_064,21,1,00005A,NEON.PLA.D07.MLBS.00005A,VST.MLBS.00005A.2017,21,3.1,9.9,,,QURU,,,mcumberland@battelleecology.org,aferchaud@battelleecology.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,21,1,00006,NEON.PLA.D07.MLBS.00006,,,,,,,KALA,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,21,1,00007,NEON.PLA.D07.MLBS.00007,,,,,,,KALA,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,21,1,00008,NEON.PLA.D07.MLBS.00008,,,,,,,HAVI4,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,21,1,00009,NEON.PLA.D07.MLBS.00009,,,,,,,QURU,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,21,1,00010,NEON.PLA.D07.MLBS.00010,,21,10.2,36,NA,,QURU,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,21,1,00011,NEON.PLA.D07.MLBS.00011,,21,5.3,31.8,NA,,QURU,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,21,1,00012,NEON.PLA.D07.MLBS.00012,,,,,,,2PLANT,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,21,1,00013,NEON.PLA.D07.MLBS.00013,,,,,,,ACPE,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,21,1,00014,NEON.PLA.D07.MLBS.00014,,,,,,,KALA,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,21,1,00015,NEON.PLA.D07.MLBS.00015,,21,6.2,43.3,NA,,QUCO2,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,21,1,00016,NEON.PLA.D07.MLBS.00016,,,,,,,AMLA,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,21,1,00017,NEON.PLA.D07.MLBS.00017,,21,8,54.4,NA,,QURU,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,21,1,00018,NEON.PLA.D07.MLBS.00018,,,,,,,AMLA,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,21,1,00019,NEON.PLA.D07.MLBS.00019,,21,11.3,48.8,NA,,QURU,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,21,1,00020,NEON.PLA.D07.MLBS.00020,,,,,,,QURU,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,21,1,00021,NEON.PLA.D07.MLBS.00021,,,,,,,ACPE,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,21,1,00022,NEON.PLA.D07.MLBS.00022,,,,,,,KALA,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,21,1,00023,NEON.PLA.D07.MLBS.00023,,,,,,,CADE12,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,21,1,00024,NEON.PLA.D07.MLBS.00024,,21,7.7,87.4,NA,,QURU,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,21,1,00025,NEON.PLA.D07.MLBS.00025,,21,6.3,78.9,NA,,QURU,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,21,1,00025A,NEON.PLA.D07.MLBS.00025A,,21,6.3,78.9,NA,,QURU,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,21,1,00026,NEON.PLA.D07.MLBS.00026,,,,,,,ACRU,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,21,1,00027,NEON.PLA.D07.MLBS.00027,,,,,,,AMLA,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,21,2,00028,NEON.PLA.D07.MLBS.00028,,21,13.8,63.6,NA,,QUAL,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,21,2,00029,NEON.PLA.D07.MLBS.00029,,21,14.7,65,NA,,QURU,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,21,2,00030,NEON.PLA.D07.MLBS.00030,,21,13.1,56.7,NA,,ROPS,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2017-10-05,vst_MLBS_2017,D07,MLBS,MLBS_064,21,,00030a,NEON.PLA.D07.MLBS.00030a,VST.MLBS.00030a.2017,31,1.2,148.1,,,ROPS,,,aferchaud@battelleecology.org,mcumberland@battelleecology.org
2017-10-05,vst_MLBS_2017,D07,MLBS,MLBS_064,21,,00030B,NEON.PLA.D07.MLBS.00030B,VST.MLBS.00030B.2017,31,1.2,148.1,,,ROPS,,,mcumberland@battelleecology.org,aferchaud@battelleecology.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,21,2,00031,NEON.PLA.D07.MLBS.00031,,21,18.1,65.6,NA,,QUCO2,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,21,2,00032,NEON.PLA.D07.MLBS.00032,,21,20.2,72,NA,,AMLA,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2017-10-05,vst_MLBS_2017,D07,MLBS,MLBS_064,21,,00032A,NEON.PLA.D07.MLBS.00032A,VST.MLBS.00032A.2017,31,8.6,111.7,,,AMLA,,,mcumberland@battelleecology.org,aferchaud@battelleecology.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,21,2,00033,NEON.PLA.D07.MLBS.00033,,21,16.1,73.7,NA,,QURU,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,21,2,00033A,NEON.PLA.D07.MLBS.00033A,,21,16.1,73.7,NA,,QURU,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,21,2,00034,NEON.PLA.D07.MLBS.00034,,21,18.1,83.5,NA,,QUAL,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,21,2,00035,NEON.PLA.D07.MLBS.00035,,21,18.1,86.3,NA,,QUAL,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,21,3,00036,NEON.PLA.D07.MLBS.00036,,21,12.2,24.2,NA,,QURU,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,21,3,00037,NEON.PLA.D07.MLBS.00037,,21,12.7,8.1,NA,,QUAL,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,21,3,00038,NEON.PLA.D07.MLBS.00038,,21,13.2,1.4,NA,,QURU,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,21,3,00039,NEON.PLA.D07.MLBS.00039,,21,16.3,3.7,NA,,ACRU,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,21,3,00039A,NEON.PLA.D07.MLBS.00039A,,21,16.3,3.7,NA,,ACRU,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,21,3,00040,NEON.PLA.D07.MLBS.00040,,21,20.5,22,NA,,ACRU,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,21,4,00041,NEON.PLA.D07.MLBS.00041,,,,,,,ACRU,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,21,4,00042,NEON.PLA.D07.MLBS.00042,,21,15.1,46.4,NA,,ACRU,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2017-10-05,vst_MLBS_2017,D07,MLBS,MLBS_064,21,4,00042A,NEON.PLA.D07.MLBS.00042A,VST.MLBS.00042A.2017,31,1.1,33.1,,,ACRU,,,aferchaud@battelleecology.org,mcumberland@battelleecology.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,21,4,00043,NEON.PLA.D07.MLBS.00043,,,,,,,HAVI4,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,21,4,00044,NEON.PLA.D07.MLBS.00044,,,,,,,QUAL,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,21,4,00045,NEON.PLA.D07.MLBS.00045,,,,,,,AMLA,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,21,4,00046,NEON.PLA.D07.MLBS.00046,,21,20.5,53.1,NA,,AMLA,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2017-10-05,vst_MLBS_2017,D07,MLBS,MLBS_064,21,4,00046A,NEON.PLA.D07.MLBS.00046A,VST.MLBS.00046A.2017,31,6.2,61.4,,,AMLA,,,aferchaud@battelleecology.org,mcumberland@battelleecology.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,21,4,00047,NEON.PLA.D07.MLBS.00047,,,,,,,QUAL,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,21,4,00048,NEON.PLA.D07.MLBS.00048,,21,20.6,47.7,NA,,ROPS,cf. species,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,21,4,00049,NEON.PLA.D07.MLBS.00049,,21,23.8,47.6,NA,,ACRU,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,21,4,00050,NEON.PLA.D07.MLBS.00050,,21,24.2,41.4,NA,,QUCO2,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,21,4,00051,NEON.PLA.D07.MLBS.00051,,21,22.4,42.9,NA,,NYSY,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,21,4,00051A,NEON.PLA.D07.MLBS.00051A,,21,22.4,42.9,NA,,NYSY,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,21,4,00052,NEON.PLA.D07.MLBS.00052,,21,21.3,42.2,NA,,QUAL,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,21,4,00053,NEON.PLA.D07.MLBS.00053,,,,,,,ACRU,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,21,4,00054,NEON.PLA.D07.MLBS.00054,,,,,,,KALA,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,21,4,00055,NEON.PLA.D07.MLBS.00055,,,,,,,KALA,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,21,4,00056,NEON.PLA.D07.MLBS.00056,,,,,,,ACRU,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,21,4,00057,NEON.PLA.D07.MLBS.00057,,21,20.8,32.5,NA,,NYSY,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,21,4,00058,NEON.PLA.D07.MLBS.00058,,21,22.2,31.8,NA,,QUERC,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,41,1,00059,NEON.PLA.D07.MLBS.00059,,,,,,,NYSY,,,cjuneau@field-ops.org,mcumberland@field-ops.org
2015-09-28,vst_MLBS_2015,D07,MLBS,MLBS_064,41,1,00060,NEON.PLA.D07.MLBS.00060,,61,24.6,223.9,NA,,PIEC2,,,cjuneau@field-ops.org,mcumberland@field-ops.org
